Date,Name,Start,End,Duration,Latitude,Longitude
1/21/2017,"Place in Penn Quarter, Washington",2017-01-21T08:49:27-05:00,2017-01-21T08:55:14-05:00,347,38.898212,-77.02807
1/21/2017,"Place in Federal Triangle, Washington",2017-01-21T09:09:41-05:00,2017-01-21T09:11:41-05:00,120,38.893719,-77.023709
1/21/2017,"Place in The Mall, Washington",2017-01-21T09:22:10-05:00,2017-01-21T09:29:11-05:00,421,38.891256,-77.017392
1/21/2017,"Place in The Mall, Washington",2017-01-21T09:34:49-05:00,2017-01-21T09:50:34-05:00,945,38.889866,-77.016378
1/21/2017,"Place in The Mall, Washington",2017-01-21T09:50:35-05:00,2017-01-21T10:03:02-05:00,747,38.890699,-77.015778
1/21/2017,"Place in The Mall, Washington",2017-01-21T10:03:03-05:00,2017-01-21T11:28:17-05:00,5114,38.889389,-77.017374
1/21/2017,"Place in The Mall, Washington",2017-01-21T11:28:17-05:00,2017-01-21T12:09:16-05:00,2459,38.88955,-77.019584
1/21/2017,"Place in The Mall, Washington",2017-01-21T12:23:06-05:00,2017-01-21T12:31:09-05:00,483,38.888486,-77.025952
1/21/2017,"Place in Southwest Federal Center, Washington",2017-01-21T12:47:55-05:00,2017-01-21T13:05:42-05:00,1067,38.885779,-77.021333
1/21/2017,"Place in Southwest Employment Area, Washington",2017-01-21T13:05:42-05:00,2017-01-21T13:17:21-05:00,699,38.885632,-77.020336
1/21/2017,"Place in Southwest Federal Center, Washington",2017-01-21T13:24:47-05:00,2017-01-21T13:34:53-05:00,606,38.885314,-77.021712
1/21/2017,"Place in Southwest Federal Center, Washington",2017-01-21T13:34:54-05:00,2017-01-21T13:52:04-05:00,1030,38.886621,-77.021769
1/21/2017,"Place in Southwest Federal Center, Washington",2017-01-21T13:52:05-05:00,2017-01-21T15:12:03-05:00,4798,38.887497,-77.023489
1/21/2017,"Place in Southwest Employment Area, Washington",2017-01-21T15:12:04-05:00,2017-01-21T15:23:37-05:00,693,38.88758,-77.025385
1/21/2017,"Place in Southwest Federal Center, Washington",2017-01-21T15:23:38-05:00,2017-01-21T15:33:14-05:00,576,38.887484,-77.0277
1/21/2017,"Place in The Mall, Washington",2017-01-21T15:38:58-05:00,2017-01-21T15:50:10-05:00,672,38.888016,-77.031997
1/21/2017,"Place in The Mall, Washington",2017-01-21T15:50:11-05:00,2017-01-21T16:11:42-05:00,1291,38.889906,-77.03206
1/21/2017,"Place in The Mall, Washington",2017-01-21T16:11:43-05:00,2017-01-21T16:26:47-05:00,904,38.891911,-77.032736
1/21/2017,"Place in The Mall, Washington",2017-01-21T16:37:16-05:00,2017-01-21T16:57:56-05:00,1240,38.893782,-77.036298
1/21/2017,"Place in The Mall, Washington",2017-01-21T17:06:04-05:00,2017-01-21T17:31:01-05:00,1497,38.895296,-77.035333
1/21/2017,"Place in Penn Quarter, Washington",2017-01-21T17:37:22-05:00,2017-01-21T18:21:55-05:00,2673,38.896402,-77.031889
1/21/2017,"Place in The Mall, Washington",2017-01-21T18:38:26-05:00,2017-01-21T18:50:17-05:00,711,38.888684,-77.034059
